"group","x","y"
"Cetacean",6.195143,-1.935169
"Cetacean",-1.1287175,-9.093172
"Cetacean",-1.6426928,-9.281819
"Cetacean",-4.7831364,-5.5287614
"Cetacean",7.745308,7.522346
"Cetacean",8.757772,8.119087
"Cetacean",8.757773,8.119086
"Cetacean",11.369371,4.1781173
"Cetacean",11.37478,4.1688013
"Cetacean",6.195143,-1.935169
"Non_Cetacean",5.7401414,-4.7314677
"Non_Cetacean",-0.91704005,-9.420494
"Non_Cetacean",-1.167878,-9.543286
"Non_Cetacean",-9.098641,-13.105598
"Non_Cetacean",-10.955544,-10.431485
"Non_Cetacean",-23.977243,21.978382
"Non_Cetacean",-24.40908,23.884266
"Non_Cetacean",-24.22963,23.868729
"Non_Cetacean",23.591204,18.73525
"Non_Cetacean",26.289011,14.53741
"Non_Cetacean",26.459457,14.153396
"Non_Cetacean",26.300089,13.391928
"Non_Cetacean",5.7401414,-4.7314677
